Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Thread Group:1 Main,1000,67488,276,260970,"56835,67","37,100%","3,69338","39,31","0,90","10897,5"
Thread Group:2 end-of-the-work,1000,36183,263,265538,"46729,12","16,900%","2,50384","39,34","0,42","16089,4"
Thread Group:3 epam-sytems,1000,28455,340,249525,"40661,40","11,000%","2,49172","35,99","0,44","14789,3"
Thread Group:4 hello-world,1000,24297,2033,215897,"33888,89","7,800%","2,47578","49,12","0,45","20314,6"
Thread Group:5 author/siarheituzhyk,1000,19317,841,222571,"29562,79","4,700%","2,48614","36,58","0,00","15068,1"
Thread Group:6 2016/11/22/,1000,19504,718,196612,"30189,42","6,100%","2,52691","31,31","0,44","12688,6"
Thread Group:7 category/epam/,1000,16954,869,185157,"25069,22","3,500%","2,61759","33,45","0,47","13084,3"
Thread Group:8 hello-world/#comment-1,1000,16819,535,208450,"23686,27","2,600%","2,67868","55,77","0,51","21320,0"
Thread Group:9 epam-sytems,1000,14997,307,159764,"21215,81","2,200%","2,74217","42,86","0,53","16005,5"
Thread Group:10 Main,1000,15834,210,195368,"24639,04","2,700%","2,80106","41,37","0,47","15122,9"
TOTAL,10000,25985,210,265538,"38156,35","9,460%","24,31629","368,97","4,07","15538,0"
